Estado,Municipio,Bairro,Produto,Data da Coleta,Valor de Venda,Unidade de Medida,5%,8%,10%
SP,COTIA,GRANJA VIANA,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,COTIA,GRANJA VIANA,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,COTIA,JARDIM PASSARGADA I,GASOLINA,2022-06-04,6.898,R$ / litro,0.3449,0.55184,0.6898
SP,COTIA,JARDIM DA GLORIA,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,CRUZEIRO,RETIRO MANTIQUEIRA,GASOLINA,2022-05-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,CRUZEIRO,JARDIM AMÉRICA,GASOLINA,2022-04-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,CRUZEIRO,CENTRO,GASOLINA,2022-04-04,7.02,R$ / litro,0.351,0.5616,0.702
SP,CUBATAO,CENTRO,GASOLINA,2022-06-04,7.499,R$ / litro,0.37495,0.59992,0.7499
SP,CUBATAO,VILA NOVA,GASOLINA,2022-06-04,7.298,R$ / litro,0.3649,0.58384,0.7298
SP,CUBATAO,VILA COUTO,GASOLINA,2022-06-04,7.397,R$ / litro,0.36985,0.5917600000000001,0.7397
SP,DIADEMA,CENTRO,GASOLINA,2022-05-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,DIADEMA,VILA NOGUEIRA,GASOLINA,2022-05-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,DIADEMA,VILA SANTA LUZIA,GASOLINA,2022-05-04,6.879,R$ / litro,0.34395,0.55032,0.6879
SP,DIADEMA,TABOAO,GASOLINA,2022-05-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,DIADEMA,VILA NOGUEIRA,GASOLINA,2022-05-04,7.049,R$ / litro,0.35245000000000004,0.5639200000000001,0.7049000000000001
SP,DIADEMA,JD MARAVILHA,GASOLINA,2022-05-04,6.389,R$ / litro,0.31945,0.51112,0.6389
SP,DRACENA,CENTRO,GASOLINA,2022-06-04,6.93,R$ / litro,0.34650000000000003,0.5544,0.6930000000000001
SP,EMBU DAS ARTES,PARQUE LUIZA,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,EMBU DAS ARTES,CENTRO,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,EMBU DAS ARTES,TINGIDOR,GASOLINA,2022-06-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,EMBU DAS ARTES,TINGIDOR,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,EMBU DAS ARTES,PARQUE FRANCISCO RIZZO,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,EMBU DAS ARTES,JARDIM SILVIA,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,EMBU DAS ARTES,JARDIM DAS OLIVEIRAS,GASOLINA,2022-06-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,EMBU DAS ARTES,TINGIDOR,GASOLINA,2022-06-04,7.369,R$ / litro,0.36845,0.58952,0.7369
SP,EMBU DAS ARTES,CERCADO GRANDE,GASOLINA,2022-06-04,7.239,R$ / litro,0.36195,0.57912,0.7239
SP,EMBU DAS ARTES,JV ALEGRE,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,GUARATINGUETA,ENGENHEIRO NEIVA,GASOLINA,2022-05-04,7.099,R$ / litro,0.35495000000000004,0.56792,0.7099000000000001
SP,GUARATINGUETA,PARQUE DAS ÁRVORES,GASOLINA,2022-05-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,GUARATINGUETA,BEIRA RIO 01,GASOLINA,2022-05-04,6.99,R$ / litro,0.34950000000000003,0.5592,0.6990000000000001
SP,GUARATINGUETA,PEDREGULHO,GASOLINA,2022-05-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,GUARATINGUETA,SANTA RITA,GASOLINA,2022-05-04,7.099,R$ / litro,0.35495000000000004,0.56792,0.7099000000000001
SP,GUARATINGUETA,BEIRA RIO,GASOLINA,2022-05-04,7.099,R$ / litro,0.35495000000000004,0.56792,0.7099000000000001
SP,GUARULHOS,PARQUE ESTRELA,GASOLINA,2022-06-04,7.199,R$ / litro,0.35995,0.57592,0.7199
SP,GUARULHOS,JD. SANTA FRANCISCA,GASOLINA,2022-06-04,6.879,R$ / litro,0.34395,0.55032,0.6879
SP,GUARULHOS,CIDADE BRASIL,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,GUARULHOS,JD. SANTA FRANCISCA,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,GUARULHOS,CONTINENTAL,GASOLINA,2022-06-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,GUARULHOS,JARDIM SANTA FRANCISCA,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,GUARULHOS,VILA HERMINIA,GASOLINA,2022-06-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,GUARULHOS,VILA AUGUSTA,GASOLINA,2022-06-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,GUARULHOS,JD PONTE GRANDE,GASOLINA,2022-06-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,GUARULHOS,JD SANTA FRANCISCA,GASOLINA,2022-06-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,GUARULHOS,VILA PEDRO MOREIRA,GASOLINA,2022-06-04,7.199,R$ / litro,0.35995,0.57592,0.7199
SP,GUARULHOS,GUARULHOS 3,GASOLINA,2022-06-04,7.199,R$ / litro,0.35995,0.57592,0.7199
SP,GUARULHOS,VILA AUGUSTA,GASOLINA,2022-06-04,6.649,R$ / litro,0.33245,0.5319200000000001,0.6649
SP,GUARULHOS,VILA GALVO,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,GUARULHOS,CENTRO,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,GUARULHOS,V. ENDRES,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,GUARULHOS,JARDIM STA FRANCISCA,GASOLINA,2022-06-04,7.199,R$ / litro,0.35995,0.57592,0.7199
SP,HORTOLANDIA,JARDIM SANTA ISABEL,GASOLINA,2022-04-04,6.659,R$ / litro,0.33295,0.53272,0.6659
